ASV_ID	Kingdom	Phylum	Class	Order	Family	Genus	A3.1.day157_1	A3.1.day98_1	A3.2.day157_1	A3.2.day98_1	E3.1.day157	E3.1.day98	E3.2.day157	E3.2.day98
sq1521	Bacteria	Chlamydiota	Chlamydiia	Chlamydiales	Parachlamydiaceae	NA	2	0	0	0	0	0	0	0
sq1522	Bacteria	Verrucomicrobiota	Kiritimatiellia	Kiritimatiellales	Pontiellaceae	Pontiella	0	0	0	0	0	0	0	0
sq1523	Bacteria	Bacillota	Bacilli	Paenibacillales	NBRC-103111	Paenibacillus_AC	0	0	0	0	0	0	0	0
sq1524	Bacteria	Chloroflexota	Dehalococcoidia	NA	NA	NA	0	0	0	0	0	0	0	0
sq1525	Bacteria	Zixibacteria	MSB-5A5	MSB-5A5	SM1-73	SM1-73	3	2	4	0	0	0	0	0
sq1526	Bacteria	Acidobacteriota	NA	NA	NA	NA	0	0	0	8	0	0	0	0
sq1527	Bacteria	NA	NA	NA	NA	NA	3	5	4	2	0	1	0	0
sq1528	Bacteria	Planctomycetota	Planctomycetia	Planctomycetales	Planctomycetaceae	JABISG01	0	0	0	0	0	0	0	0
sq1529	Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Nitrosomonadaceae	NA	4	2	0	0	0	0	0	0
sq1530	Bacteria	Bacillota_A	Clostridia	NA	NA	NA	0	0	0	0	0	0	0	0
sq1531	Bacteria	Pseudomonadota	Alphaproteobacteria	NA	NA	NA	1	1	1	6	0	0	0	0
sq1532	Bacteria	Patescibacteria	Paceibacteria	NA	NA	NA	2	0	0	2	0	0	0	5
sq1533	Bacteria	NA	NA	NA	NA	NA	5	8	0	0	0	4	0	0
sq1534	Bacteria	Chloroflexota	Dehalococcoidia	Dehalococcoidales	NA	NA	3	7	4	2	0	2	0	0
sq1535	Bacteria	Pseudomonadota	Gammaproteobacteria	UBA6429	UBA6429	Thiohalophilus	1	0	0	0	0	0	0	0
sq1536	Bacteria	Planctomycetota	Phycisphaerae	FEN-1346	JAACEH01	JAAYDY01	1	1	2	9	0	0	0	0
sq1537	Bacteria	Planctomycetota	Phycisphaerae	SM23-33	SM23-33	NA	1	4	3	2	2	4	0	6
sq1538	Bacteria	Chloroflexota	Dehalococcoidia	NA	NA	NA	6	2	5	0	1	1	0	0
sq1539	Bacteria	Chloroflexota	NA	NA	NA	NA	4	0	4	0	0	0	0	0
sq1540	Bacteria	Chloroflexota	Dehalococcoidia	NA	NA	NA	3	8	2	0	0	0	0	0
sq1541	Bacteria	NA	NA	NA	NA	NA	7	6	3	0	0	0	0	0
sq1542	Bacteria	Spirochaetota	B62-G9	B62-G9	B62-G9	B62-G9	3	0	3	0	0	3	0	0
sq1543	Bacteria	Chloroflexota	Dehalococcoidia	Dehalococcoidales	W498	W498	2	0	0	3	0	0	0	0
sq1544	Bacteria	Desulfobacterota	Desulfobulbia	Desulfobulbales	Desulfurivibrionaceae	JAJRUT01	0	0	0	0	0	0	0	0
sq1545	Bacteria	NA	NA	NA	NA	NA	9	2	1	2	0	3	0	0
sq1546	Bacteria	Actinomycetota	Actinomycetia	Propionibacteriales	Nocardioidaceae	NA	2	0	1	1	0	0	0	0
sq1547	Bacteria	Dependentiae	Babeliae	Babeliales	NA	NA	3	0	0	0	0	0	0	0
sq1548	Bacteria	Armatimonadota	UBA5377	UBA5377	JABLXH01	JABLXH01	1	4	0	0	0	10	0	0
sq1549	Bacteria	Chloroflexota	Dehalococcoidia	Dehalococcoidales	NA	NA	0	16	5	1	0	0	0	0
sq1550	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	NA	NA	5	6	4	0	0	11	1	0
sq1551	Bacteria	NA	NA	NA	NA	NA	0	0	2	0	0	0	0	0
sq1552	Bacteria	Pseudomonadota	Gammaproteobacteria	NA	NA	NA	2	0	0	2	0	0	0	0
sq1553	Bacteria	Chloroflexota	Dehalococcoidia	NA	NA	NA	5	0	0	4	0	0	0	0
sq1554	Bacteria	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0
sq1555	Bacteria	Chloroflexota	Dehalococcoidia	NA	NA	NA	7	3	1	0	0	0	0	0
sq1556	Bacteria	Gemmatimonadota	Gemmatimonadetes	NA	NA	NA	5	0	0	0	0	0	0	0
sq1557	Bacteria	Planctomycetota	Planctomycetia	Pirellulales	Pirellulaceae	JAGFJK01	7	9	0	1	0	0	0	0
sq1558	Bacteria	NA	NA	NA	NA	NA	10	0	4	1	0	0	1	0
sq1559	Bacteria	Patescibacteria	Paceibacteria	Portnoybacterales	UBA2143	NA	6	2	2	0	0	0	0	0
