ASV_ID	Kingdom	Phylum	Class	Order	Family	Genus	A3.1.day157_1	A3.1.day98_1	A3.2.day157_1	A3.2.day98_1	E3.1.day157	E3.1.day98	E3.2.day157	E3.2.day98
sq210	Archaea	Thermoplasmatota	E2	DHVEG-1	DHVEG-1	NA	17	9	18	76	4	13	1	0
sq211	Archaea	Thermoproteota	Bathyarchaeia	B26-1	NA	NA	7	18	26	14	0	0	0	0
sq212	Archaea	Halobacteriota	Methanosarcinia	Methanosarcinales	Methanogasteraceae	Methanogaster	80	9	61	1	4	4	0	0
sq213	Archaea	NA	NA	NA	NA	NA	19	0	8	38	0	2	0	0
sq214	Archaea	Thermoproteota	Bathyarchaeia	B26-1	UBA233	NA	25	43	7	8	0	0	0	2
sq215	Archaea	Asgardarchaeota	Lokiarchaeia	CR-4	SOKP01	NA	14	0	4	6	1	3	0	0
sq216	Archaea	Nanoarchaeota	Nanoarchaeia	Pacearchaeales	GW2011-AR1	ASMP01	9	0	15	14	0	4	1	1
sq217	Archaea	Thermoproteota	Bathyarchaeia	B26-1	NA	NA	8	20	6	13	0	0	0	0
sq218	Archaea	Thermoproteota	Bathyarchaeia	TCS64	TCS64	RBG-16-57-9	8	0	8	2	0	0	0	0
sq219	Archaea	Thermoplasmatota	E2	DHVEG-1	DHVEG-1	NA	0	0	0	0	65	64	55	13
sq220	Archaea	Asgardarchaeota	Heimdallarchaeia	JABLTI01	JABLTI01	JABLTI01	4	5	3	16	0	0	0	1
sq221	Archaea	Thermoplasmatota	E2	DHVEG-1	DHVEG-1	NA	16	4	14	62	1	7	0	1
sq222	Archaea	Nanoarchaeota	Nanoarchaeia	NA	NA	NA	80	20	55	58	3	2	1	1
sq223	Archaea	Asgardarchaeota	Lokiarchaeia	CR-4	SOKP01	NA	71	16	32	41	0	16	0	0
sq224	Archaea	Thermoproteota	Bathyarchaeia	B26-1	BA1	NA	17	0	7	12	0	10	0	0
sq225	Archaea	Thermoproteota	Bathyarchaeia	TCS64	TCS64	RBG-16-57-9	0	0	0	0	61	63	20	12
sq226	Archaea	Thermoproteota	Bathyarchaeia	B26-1	BA1	Kmv02	29	0	5	8	0	0	0	0
sq227	Archaea	Thermoproteota	Bathyarchaeia	B26-1	BA1	BIN-L-1	12	20	30	15	0	1	0	0
sq228	Archaea	Thermoplasmatota	E2	DHVEG-1	DHVEG-1	NA	10	13	5	64	3	17	2	4
sq229	Archaea	Thermoproteota	Bathyarchaeia	B26-1	UBA233	DSLH01	87	3	34	47	3	8	0	2
sq230	Archaea	Thermoproteota	NA	NA	NA	NA	7	3	7	2	0	1	0	0
sq231	Archaea	Asgardarchaeota	Lokiarchaeia	CR-4	SOKP01	NA	27	10	9	11	3	2	0	0
sq232	Archaea	Asgardarchaeota	Heimdallarchaeia	Hodarchaeales	Hodarchaeaceae	Hodarchaeum	31	5	36	34	0	1	2	0
sq233	Archaea	NA	NA	NA	NA	NA	8	0	3	6	0	0	0	0
sq234	Archaea	Thermoproteota	NA	NA	NA	NA	17	9	9	11	0	1	0	0
sq235	Archaea	Asgardarchaeota	Lokiarchaeia	CR-4	MK-D1	Prometheoarchaeum	0	0	0	0	0	0	11	49
sq236	Archaea	Thermoproteota	Bathyarchaeia	NA	NA	NA	14	2	8	21	0	0	0	0
sq237	Archaea	Asgardarchaeota	Lokiarchaeia	CR-4	MK-D1	Prometheoarchaeum	0	0	0	0	0	2	52	45
sq238	Archaea	NA	NA	NA	NA	NA	8	0	4	18	0	0	0	0
sq239	Archaea	Thermoproteota	Bathyarchaeia	B26-1	UBA233	NA	24	28	9	6	0	3	0	1
sq240	Archaea	Halobacteriota	Methanosarcinia	Methanosarcinales	Methanogasteraceae	Methanogaster	7	8	11	3	0	1	0	0
